ruta,origen,destino,fecha_salida,fecha_vuelta,precio_gol,precio_aerolineas,mejor_precio,mejor_sitio,ultima_actualizacion
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,28/12/2026,07/01/2027,"R$ 1.831,00","R$ 3.798,00","R$ 1.831,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,29/12/2026,08/01/2027,"R$ 1.856,00","R$ 3.798,00","R$ 1.856,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,30/12/2026,09/01/2027,"R$ 1.961,00","R$ 4.752,00","R$ 1.961,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,31/12/2026,10/01/2027,"R$ 1.570,00","R$ 4.886,00","R$ 1.570,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,01/01/2027,11/01/2027,"R$ 1.749,00","R$ 3.798,00","R$ 1.749,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,02/01/2027,12/01/2027,"R$ 1.934,00","R$ 4.764,00","R$ 1.934,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,03/01/2027,13/01/2027,"R$ 1.955,00","R$ 4.753,00","R$ 1.955,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,04/01/2027,14/01/2027,"R$ 1.766,00","R$ 3.998,00","R$ 1.766,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,05/01/2027,15/01/2027,"R$ 1.749,00","R$ 3.998,00","R$ 1.749,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,06/01/2027,16/01/2027,"R$ 1.749,00","R$ 3.892,00","R$ 1.749,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,07/01/2027,17/01/2027,"R$ 1.749,00","R$ 4.835,00","R$ 1.749,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,08/01/2027,18/01/2027,"R$ 1.749,00","R$ 4.075,00","R$ 1.749,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,09/01/2027,19/01/2027,"R$ 1.749,00","R$ 4.608,00","R$ 1.749,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,10/01/2027,20/01/2027,"R$ 1.749,00","R$ 3.998,00","R$ 1.749,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,11/01/2027,21/01/2027,"R$ 1.749,00","R$ 3.798,00","R$ 1.749,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,12/01/2027,22/01/2027,"R$ 1.749,00","R$ 3.798,00","R$ 1.749,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,13/01/2027,23/01/2027,"R$ 1.749,00","R$ 3.798,00","R$ 1.749,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,14/01/2027,24/01/2027,"R$ 1.749,00","R$ 3.798,00","R$ 1.749,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,15/01/2027,25/01/2027,"R$ 1.749,00","R$ 4.275,00","R$ 1.749,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,16/01/2027,26/01/2027,"R$ 1.831,00","R$ 3.798,00","R$ 1.831,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,17/01/2027,27/01/2027,"R$ 1.831,00","R$ 4.075,00","R$ 1.831,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,18/01/2027,28/01/2027,"R$ 1.831,00","R$ 3.798,00","R$ 1.831,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,19/01/2027,29/01/2027,"R$ 1.461,00","R$ 3.798,00","R$ 1.461,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,20/01/2027,30/01/2027,"R$ 1.461,00","R$ 3.659,00","R$ 1.461,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,21/01/2027,31/01/2027,"R$ 1.461,00","R$ 3.510,00","R$ 1.461,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,22/01/2027,01/02/2027,"R$ 3.422,00","R$ 3.464,00","R$ 3.422,00",gol,"21/08/2026, 12:50 p. m."
